Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
glyoxylic acid	-0.0329	-0.0431	-0.051	-0.0434	-0.0856	0.1065	0.2389	-0.0541	0.1432	0.0857	-0.0014	-0.02	-0.0355	0.0575	-0.0149	-0.043	0.1687	0.0133	0.2413
methyl pyruvate	0.0529	0.2147	0.1469	0.1538	0.1003	0.1448	0.2361	0.2405	0.2814	0.3371	0.0182	0.0753	0.1676	0.1317	-0.0609	0.1365	0.2008	0.1233	0.1866
D-galacturonic acid	-0.0252	-0.0092	-0.0324	-0.0242	-0.0815	-0.0035	-0.008	-0.0383	0.0153	0.0567	-0.0171	0.0166	-0.0052	-0.0205	-0.3643	-0.0295	0.1819	0.0018	0.0108
D-mannose	-0.0046	-0.0269	-0.0548	-0.0209	-0.0483	-0.0098	-0.023	-0.0301	-0.0046	-0.0034	0.0026	-0.0091	0.0074	0.0017	0.0071	-0.0071	0.1737	-0.0171	0.0031
D-mannitol	-0.0063	-0.0024	-0.0088	-0.0019	-0.0797	-0.0038	-0.0056	-0.0075	-0.0314	-0.0093	-0.0132	0.0003	0.0378	-0.0055	0.0367	-0.0254	0.1967	0.0059	0.0249
D-melibiose	-0.0303	0.0405	-0.0557	-0.0195	-0.0741	-0.0048	-0.0034	-0.0173	-0.0421	0.1461	-0.0068	-0.004	0.025	0.0192	0.0138	-0.0363	0.177	0.0012	0.0127
sucrose	-0.0218	-0.0135	-0.0204	-0.007	-0.0676	0.0027	-0.4162	-0.0071	-0.0268	0.0022	0.0022	-0.0076	0.0188	-0.0042	0.0324	-0.0322	0.185	0.0105	0.0127
2-deoxy adenosine	-0.0542	-0.0348	-0.0397	-0.0638	-0.0831	-0.0222	-0.0372	-0.0402	-0.0654	-0.0417	0.0256	0.0095	0.0219	0.0105	-0.0121	-0.0384	0.1781	-0.0098	0.013
D-cellobiose	-0.0336	0.048	-0.0557	-0.0256	-0.0639	-0.0003	0.0004	-0.0167	-0.0397	0.1248	-0.0165	-0.0013	0.0485	0.1034	0.0177	-0.0447	0.1807	0.0133	0.0145
D-malic acid	0.0818	0.2508	0.2209	0.1426	0.0099	-0.0022	0.2641	-0.0539	0.0879	0.1937	0.0361	0.1741	0.165	0.1142	0.0071	0.1937	0.2921	0.164	0.0089
